INDEX,JOURNAL,ISSN,2013/2014,2012,2011,2010,2009,2008
1,4OR-A Quarterly Journal of Operations Research,16194500,0.918,0.73,0.323,0.69,0.75,0
2,Aaohn Journal,08910162,0.608,0.856,0.509,0.56,0,0
3,Aapg Bulletin,01491423,1.832,1.768,1.831,1.964,1.448,1.364
4,AAPS Journal,15507416,3.905,4.386,5.086,3.942,3.54,0
5,Aaps Pharmscitech,15309932,1.776,1.584,1.432,1.211,1.19,1.445
6,Aatcc Review,15328813,0.254,0.354,0.139,0.315,0.293,0.352
7,Abdominal Imaging,09428925,1.73,1.905,1.725,1.95,1.791,1.485
8,Abhandlungen Aus Dem Mathematischen Seminar Der Universitat Hamburg,00255858,0.222,0.568,0.222,0.522,0.391,0.086
9,Abstract and Applied Analysis,10853375,1.274,1.102,1.318,1.442,2.221,0.644
10,Academic Emergency Medicine,10696563,2.198,1.757,1.861,2.197,2.478,2.46
11,Academic Medicine,10402446,3.468,3.292,3.524,2.631,2.338,1.867
12,Academic Pediatrics,18762859,2.227,2.328,2.398,0,0,0
13,Academic Radiology,10766332,2.077,1.914,1.692,2.195,2.092,2.021
14,Accountability in Research-Policies and Quality Assurance,08989621,0.717,0.756,0.618,0,0,0
15,Accounts Of Chemical Research,00014842,24.348,20.833,21.64,21.84,18.203,12.176
16,Accreditation And Quality Assurance,09491775,1.048,1.132,1.036,0.791,0.76,0.781
17,Aci Materials Journal,0889325X,1.123,0.826,0.803,1.023,0.896,0.568
18,Aci Structural Journal,08893241,0.964,0.806,0.667,0.782,0.874,0.895
19,Acm Computing Surveys,03600300,4.043,3.543,4.529,7.806,7.667,9.92
20,ACM Journal on Emerging Technologies in Computing Systems,15504832,0.833,0.759,0.414,0.838,0.758,0
21,Acm Sigplan Notices,03621340,0.621,0.705,0.09,0.148,0.28,0.163
22,ACM Transactions on Algorithms,15496325,0.4,0.54,0.646,0.932,0,0
23,ACM Transactions on Applied Perception,15443558,1.051,1,1.145,0.776,1.447,0
24,ACM Transactions on Architecture and Code Optimization,15443566,0.597,0.684,0.568,0.824,0.595,0
25,ACM Transactions on Autonomous and Adaptive Systems,15564665,0.785,1,1.286,1,0,0
26,ACM Transactions on Computer-Human Interaction,10730516,0.574,1.179,0.838,1.833,0,0
27,ACM Transactions on Computational Logic,15293785,0.636,0.792,0.823,1.391,0,2.766
28,Acm Transactions On Computer Systems,07342071,0.615,0.8,1.188,1.889,0,2.391
29,Acm Transactions On Database Systems,03625915,0.75,0.887,1,1.216,0,1.613
30,Acm Transactions On Design Automation Of Electronic Systems,10844309,0.52,0.522,0.811,0.484,0,0.848
31,ACM Transactions on Embedded Computing Systems,15399087,0.68,1.178,0.607,1.057,0,0
32,Acm Transactions On Graphics,07300301,3.725,3.361,3.489,3.533,0,3.383
33,ACM Transactions on Information and System Security,10949224,0.86,0.69,0.696,0.965,0,0
34,Acm Transactions On Information Systems,10468188,1.3,1.07,1.077,1.085,0,1.472
35,ACM Transactions on Intelligent Systems and Technology,21576904,9.39,0,0,0,0,0
36,ACM Transactions on Internet Technology,15335399,0.577,0.792,0.893,1.118,0,0
37,ACM Transactions on Knowledge Discovery from Data,15564681,1.147,1.676,1.419,0,0,0
38,Acm Transactions On Mathematical Software,00983500,3.289,1.934,1.922,1.658,0,2.197
39,Acm Transactions On Modeling And Computer Simulation,10493301,0.829,0.528,1.114,0.543,0,1.029
40,ACM Transactions on Multimedia Computing Communications and Applications,15516857,0.904,0.935,0.85,1.4,0,2.465
41,Acm Transactions On Programming Languages And Systems,01640925,0.8,1.026,0.95,1.167,0,1.444
42,ACM Transactions on Reconfigurable Technology and Systems,19367406,0.408,0.516,0.65,0,0,0
43,ACM Transactions on Sensor Networks,15504859,1.463,1.444,1.808,2.282,0,0
44,Acm Transactions On Software Engineering And Methodology,1049331X,1.472,1.548,1.269,1.694,0,3.958
45,ACM Transactions on Storage,15533077,0.586,1.115,0,0,0,0
46,ACM Transactions on the Web,15591131,1.595,1.405,0.871,1.909,0,0
47,Acoustics Australia,08146039,0.364,0.303,0.182,0.375,0,0
48,Acoustical Physics,10637710,0.551,0.421,0.7,0.682,0,0.622
49,ACS Applied Materials & Interfaces,19448244,5.9,5.008,4.525,2.925,,0
50,ACS Catalysis,21555435,7.572,5.265,,0,0,0
51,ACS Chemical Biology,15548929,5.356,5.442,6.446,5.698,5.108,5.149
52,ACS Chemical Neuroscience,19487193,4.21,3.871,3.676,,0,0
53,ACS Combinatorial Science,21568952,3.401,3.636,,0,0,0
54,ACS Macro Letters,21611653,5.242,,0,0,0,0
55,ACS Medicinal Chemistry Letters,19485875,3.073,3.311,3.355,,0,0
56,ACS Nano,19360851,12.033,12.062,10.774,9.855,7.493,5.472
57,ACS Sustainable Chemistry & Engineering,21680485,0,0,0,0,0,0
58,ACS Synthetic Biology,21615063,3.951,,0,0,0,0
59,Acsms Health & Fitness Journal,10915397,0.268,0.298,0.404,0.292,0.392,0.353
60,Acta Acustica United With Acustica,16101928,0.679,0.714,0.569,0.552,0.637,0.538
61,Acta Adriatica,00015113,0.483,0.356,0.5,0.4,0.459,0
62,Acta Agriculturae Scandinavica Section A-Animal Science,09064702,0.273,0.607,0.729,0.484,0.393,0.489
63,Acta Agriculturae Scandinavica Section B-Soil And Plant Science,09064710,0.65,0.705,0.699,0.62,0.46,0.407
64,Acta Alimentaria,01393006,0.427,0.475,0.444,0.379,0.505,0.441
65,Acta Anaesthesiologica Scandinavica,00015172,2.31,2.355,2.188,2.196,2.26,1.953
66,Acta Applicandae Mathematicae,01678019,0.702,0.985,0.899,0.979,0.523,0.43
67,Acta Arithmetica,00651036,0.421,0.472,0.435,0.496,0.508,0.467
68,Acta Astronautica,00945765,0.816,0.701,0.614,0.609,0.508,0.374
69,Acta Astronomica,00015237,1.955,2.682,1.68,3.491,2.471,1.778
70,Acta Biochimica Et Biophysica Sinica,16729145,2.089,1.807,1.376,1.547,1.482,1.086
71,Acta Biochimica Polonica,0001527X,1.389,1.185,1.491,1.234,1.262,1.448
72,Acta of Bioengineering and Biomechanics,1509409X,0.979,0.333,0.449,0.432,0,0
73,Acta Bioethica,1726569X,0.06,0.061,0,0,0,0
74,Acta Biologica Cracoviensia Series Botanica,00015296,0.662,0.612,0.565,0.586,0.571,0.351
75,Acta Biologica Hungarica,02365383,0.563,0.504,0.593,0.793,0.551,0.619
76,Acta Biomaterialia,17427061,5.684,5.093,4.865,4.822,3.975,3.727
77,Acta Bioquimica Clinica Latinoamericana,03252957,0,0.093,0.075,0,0,0.044
78,Acta Biotheoretica,00015342,1.231,0.95,1.468,1.707,1.394,0.735
79,Acta Botanica Brasilica,01023306,0.553,0.374,0.462,0.368,0,0
80,Acta Botanica Croatica,03650588,0.449,0.435,0.702,0.386,0,0
81,Acta Botanica Gallica,12538078,0.235,0.31,0.383,0.298,0.064,0.145
82,Acta Botanica Mexicana,01877151,0.629,0.305,0.204,0.146,0.229,0
83,Acta Cardiologica Sinica,10116842,0.845,0.667,0.633,0.378,0.253,0
84,Acta Cardiologica,00015385,0.561,0.607,0.605,0.65,0.604,0.581
85,Acta Carsologica,05836050,0.71,0.542,0.727,0.75,0.59,0
86,Acta Chimica Sinica,05677351,0.874,0.622,0.533,0.611,0.751,0.682
87,Acta Chimica Slovenica,13180207,0.81,1.135,1.328,1.011,0.841,0.909
88,Acta Chirurgica Belgica,00015458,0.44,0.359,0.432,0.352,0.424,0.474
89,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,00015415,0.415,0,0,0,1.628,0
90,Acta Chiropterologica,15081109,0.831,0.894,1.116,1.012,1,0.825
91,Acta Chromatographica,12332356,0.485,0.644,0.76,0.779,0.676,0.621
92,Acta Cirurgica Brasileira,01028650,0.57,0.626,0.584,0.5,0.479,0
93,Acta Clinica Belgica,00015512,0,0.589,0.592,0.532,1.194,1.282
94,Acta Clinica Croatica,03539466,0.421,0.28,0.254,0.384,0.188,0
95,Acta Crystallographica Section A,01087673,2.069,2.244,2.076,54.333,49.926,2.051
96,Acta Crystallographica Section B-Structural Science,01087681,2.095,2.175,2.286,1.829,1.801,2.341
97,Acta Crystallographica Section C-Crystal Structure Communications,01082701,0.535,0.492,0.518,0.745,0.782,0.561
98,Acta Crystallographica Section D-Biological Crystallography,09074449,7.232,14.103,12.619,6.326,2.257,2.943
99,Acta Crystallographica Section E-Structure Reports Online,16005368,0,0,0.347,0.413,0.411,0.367
100,Acta Crystallographica Section F-Structural Biology and Crystallization Communications,17443091,0.568,0.552,0.506,0.563,0.551,0.606
101,Acta Cytologica,00015547,1.562,0.693,0.488,0.647,0.69,0.835
102,Acta Dermato-Venereologica,00015555,4.244,3.487,3.176,2.78,3.007,2.456
103,Acta Dermatovenerologica Croatica,1330027X,0.581,0.481,0.36,0.272,0.461,0
104,Acta Diabetologica,09405429,3.679,4.631,2.784,3.175,1.549,0.926
105,Acta Endocrinologica-Bucharest,18410987,0.21,0.45,0.183,0.052,0.011,0
106,Acta Endoscopica,0240642X,0,0.161,0.088,0.053,0.123,0.074
107,Acta Entomologica Musei Nationalis Pragae,03741036,0.574,0.963,0.721,0,0,0
108,Acta Ethologica,08739749,0.804,1.147,1.353,0.871,1,0.667
109,Acta Gastro-Enterologica Belgica,00015644,0,0.581,0.638,0.648,1.01,0.832
110,Acta Geodaetica et Geophysica Hungarica,12178977,0,0.347,0.346,0.892,0.288,0
111,Acta Geodaetica et Geophysica,22135812,0.394,0,0,0,0,0
112,Acta Geodynamica et Geomaterialia,12149705,0.667,0,0.53,0.452,0.275,0
113,Acta Geographica Slovenica-Geografski Zbornik,15816613,0.75,0.484,1.333,0.346,0.714,0
114,Acta Geologica Polonica,00015709,0.804,1.133,0.565,0.779,0.54,0.581
115,Acta Geologica Sinica-English Edition,10009515,1.406,1.568,1.25,1.408,1.172,1.431
116,Acta Geophysica,18956572,1.365,0.91,0.617,1,0.882,0.308
117,Acta Geotechnica Slovenica,18540171,0.455,0.2,0.1,0.05,0.235,0
118,Acta Geotechnica,18611125,1.86,0.905,0.811,1.66,0,0
119,Acta Haematologica,00015792,0.994,0.894,1.354,1.316,1.069,1.191
120,Acta Herpetologica,18279635,0.812,0.621,0.56,0.488,0,0
121,Acta Histochemica Et Cytochemica,00445991,1.224,1.48,1.106,1,1.675,0.857
122,Acta Histochemica,00651281,1.76,1.608,1.829,1.735,1.234,1.101
123,Acta Hydrochimica Et Hydrobiologica,03234320,0,0,0,0,0,0.907
124,Acta Ichthyologica Et Piscatoria,01371592,0.691,0.606,0.547,0.49,0,0
125,Acta Informatica,00015903,0.405,0.474,0.444,0.809,0.923,0.789
126,Acta Materialia,13596454,3.94,3.941,3.755,3.781,3.76,3.729
127,Acta Mathematicae Applicatae Sinica-English Series,01689673,0.385,0.328,0.289,0.371,0.315,0
128,Acta Mathematica,00015962,3.033,2.714,3.333,4.864,2.619,2.143
129,Acta Mathematica Hungarica,02365294,0.401,0.348,0.456,0.521,0.522,0.317
130,Acta Mathematica Scientia,02529602,0.62,0.487,0.357,0.213,0.328,0.222
131,Acta Mathematica Sinica-English Series,14398516,0.419,0.48,0.47,0.54,0.579,0.543
132,Acta Mechanica Sinica,05677718,0.616,0.688,0.86,0.749,0.865,0.939
133,Acta Mechanica Solida Sinica,08949166,0.651,1.33,0.766,0.543,0.465,0.552
134,Acta Mechanica,00015970,1.268,1.247,1.292,1.024,1.137,1.297
135,Acta Medica Okayama,0386300X,0.746,0.652,0.657,0.721,0.837,0.969
136,Acta Medica Mediterr,03936384,0,1.053,0.031,0,0,0
137,Acta Medica Portuguesa,16460758,0.281,0.151,0.091,0.256,0,0
138,Acta Metallurgica Sinica-English Letters,10067191,0.426,0.467,0.407,0,0,0
139,Acta Metallurgica Sinica,04121961,0.548,0.612,0.464,0.477,0.483,0.474
140,Acta Meteorologica Sinica,08940525,1.111,0.799,0.534,0.704,0.874,0
141,Acta Microbiologica Et Immunologica Hungarica,12178950,0.78,0.646,0.787,0.625,0,0
142,Acta Microscopica,07984545,0.024,0,0.202,0,0,0
143,Acta Montanistica Slovaca,13351788,0.053,0.094,0.084,0.134,0,0
144,Acta Naturae,20758251,0.872,0.477,0,0,0,0
145,Acta Neurobiologiae Experimentalis,00651400,2.244,1.977,2.11,1.533,1.337,1.091
146,Acta Neurochirurgica,00016268,1.788,1.546,1.52,1.329,1.472,1.634
147,Acta Neurologica Belgica,03009009,0.598,0.466,0.535,0.416,0.597,0.77
148,Acta Neurologica Scandinavica,00016314,2.437,2.474,2.469,2.153,2.324,2.317
149,Acta Neuropathologica,00016322,9.777,9.734,9.32,7.695,6.397,5.31
150,Acta Neuropsychiatrica,16015215,0.639,0.606,0.577,0.529,0.944,1.38
151,Acta Obstetricia Et Gynecologica Scandinavica,00016349,1.985,1.85,1.771,1.86,1.618,1.356
152,Acta Oceanologica Sinica,0253505X,0.684,0.583,0.494,0.476,0.481,0.441
153,Acta Odontologica Scandinavica,00016357,1.309,1.358,1.066,1.13,1.412,1.095
154,Acta Oecologica-International Journal Of Ecology,1146609X,1.841,1.621,1.57,1.46,1.609,1.456
155,Acta Oncologica,0284186X,3.71,2.867,3.33,3.137,2.265,2.739
156,Acta Ophthalmologica,1755375X,2.512,2.345,2.629,2.809,2.441,2.138
157,Acta Ornithologica,00016454,1.478,1.681,1.229,0.889,1.018,0.882
158,Acta Orthopaedica Belgica,00016462,0.567,0.629,0.401,0.392,0.403,0
159,Acta Orthopaedica et Traumatologica Turcica,1017995X,0.554,0.597,0.337,0.309,0,0
160,Acta Orthopaedica,17453674,2.452,2.736,2.168,1.897,1.909,1.762
161,Acta Ortopedica Brasileira,14137852,0.156,0,0.698,0,0,0
162,Acta Oto-Laryngologica,00016489,0.99,1.106,1.084,1.2,0.984,0.868
163,Acta Otorhinolaryngologica Italica,0392100X,1.439,0.786,0.863,0.427,0,0
164,Acta Paediatrica,08035253,1.842,1.974,2.073,1.955,1.768,1.517
165,Acta Palaeontologica Polonica,05677920,1.722,1.577,1.488,1.949,1.491,1.128
166,Acta Parasitologica,12302821,0.965,1,0.789,1.144,1.07,0.748
167,Acta Paulista de Enfermagem,01032100,0.267,0.142,0.273,0.204,0,0
168,Acta Petrologica Sinica,10000569,1.224,1.117,0,0,0,0
169,Acta Pharmaceutica,13300075,1.025,1.162,0.912,1.312,0,0
170,Acta Pharmacologica Sinica,16714083,2.496,2.354,1.953,1.909,1.783,1.676
171,Acta Physico-Chimica Sinica,10006818,0.886,0.869,0.78,0.734,0.718,0.673
